,title,price
0,Redmi 2 (original used),RM88.35
1,[MYSET NEW] Xiaomi Redmi 9A (2GB RAM + 32GB ROM) Smartphone [MY SET] | With Free Gift,RM309.00
2,XIAOMI REDMI NOTE 11 PRO 5G PM DULU CHEAPEST ANSURAN/INSTALLMENT PLAN,RM68.00
3,Redmi 8A 32GB Dual Sim 100% original Malaysia set,RM299.00
4,Realm C35 4+64 5.5inch big screen 4G/5G Android 11 mobile phone10 core24MP+48MP HD 4800mAH phone cheap,RM359.40
5,[Malaysia Set] Xiaomi Redmi 10C 4GB RAM + 64GB ROM | 4GB RAM + 128GB ROM New With 1 Year Warranty By Xiaomi Malaysia,RM599.00
6,Redmi 10C Smartphone | 4GB RAM + 64GB/128GB ROM,RM505.00
7,[Malaysia Set] Xiaomi Redmi Note 11s 5G 6GB RAM + 128GB ROM New With 1 Year Warranty By Xiaomi Malaysia,RM999.00
8,Redmi Note 8 Pro 64GB + 6GB RAM 100% Original D e m o Unit,RM389.00
9,XIAOMI REDMI NOTE 11 PRO+ 5G PM DULU CHEAPEST ANSURAN/INSTALLMENT PLAN,RM76.00
10,[Malaysia Set] Xiaomi Redmi Note 11 Pro 8GB RAM + 128GB ROM New With 1 Year Warranty By Xiaomi Malaysia,"RM1,299.00"
11,BEST BUY !!!!!! NEW RELEASE !!! IMPORT SET REDMI 9A 3 RAM + 32 GB,RM290.00
12,Redmi 4x 2GB Ram/32GB Rom 4G LTE Fingerprint Access Original Used,RM189.00
13,BRAND NEW !!! IMPORT SET REDMI NOTE 11S ( 3 + 128 GB ),RM299.00
14,REDMI NOTE 11 / NOTE 11S / NOTE 11S 5G - ORIGINAL XIAOMI MALAYSIA,RM799.00
15,Xiaomi Redmi 9C (4GB+128GB) MALAYSIA SET 1 YEAR OFFICIAL WARRANTY PACK WITH BUBBLE WRAP,RM599.00
16,REDMI NOTE 11S,RM999.00
17,Redmi Note 2 Xiaomi Android Phone Dual Sim Smart device backup bluetooth octacore semifaulty,RM89.30
18,[EASY] Redmi Note 11 / Redmi Note 11s / Redmi Note 11 Pro / Redmi Note 11 Pro 5G Original Malaysia 1 Year Xiaomi Warranty,RM928.40
19,REDMI 9A [2GB+32GB] / REDMI 9C [4+128GB] - 100% ORIGINAL,RM348.00
20,Realm C35 4+64 5.5inch big screen 4G/5G Android 11 mobile phone10 core24MP+48MP HD 4800mAH phone cheap,RM359.40
21,PRE ORDER-REDMI NOTE 12 CN-ETA 9days@ Fastech Lim,RM999.00
22,ORIGINAL MALAYSIA SET REDMI 9A,RM389.00
23,XIAOMI REDMI 9A 2GB+32GB 100% NEW ORIGINAL XIAOMI MALAYSIA SET 1 YEAR WARRANTY /READYSTOCK/,RM319.00
24,Redmi Note 10 Pro (6 RAM/128GB ROM) Smartphone with 1 Year Xiaomi Malaysia Warranty,RM999.00
25,REDMI NOTE 11 PRO,"RM1,099.00"
26,XIAOMI REDMI 9A 2GB RAM 32GB ROM MALAYSIA WARRANTY,RM359.00
27,MOST SELL !!!!! IMPORT SET REDMI NOTE 11 ( 4 + 64 GB ),RM270.00
28,Redmi 5 3GB 100% orginal USED,RM299.00
29,REDMI 9A 100% ORIGINAL,RM349.00
30,REDMI 9A DEVICE,RM399.00
31,Redmi Note 10S (8GB RAM + 128GB ROM) - READY STOCK | 6.43” AMOLED | Mediatek Helio G95 | 33W Fast Charge,RM799.00
32,XIAOMI Redmi 10 (6GB + 128GB) Smartphone,RM699.00
33,REDMI NOTE 11 6GB RAM 128GB ROM XIAOMI MALAYSIA WARRANTY,RM799.00
34,Redmi Note 10S 8+128GB 6.43'' Amoled Display Dual Spearker 5000mAh 33W Fast Chaging,RM899.00
35,💥 REDMI 10C 4+64GB/4+128GB 💥 1 YEAR WARRANTY XIAOMI MALAYSIA 💥,RM502.00
36,Xiaomi Redmi 9C 6.53''HD+ DotDrop Display 5000mAh Midnight Grey 4+128GB,RM529.00
37,"POCO X3 NFC (6GB RAM+128GB ROM) Smartphone Global Version Original ,",RM999.00
38,REDMI 2 4G ORIGINAL USED (99% NEW)-FULL SET BOX,RM92.15
39,Redmi Note 10 Pro (8+128),"RM1,179.00"
40,REDMI 2 ORIGINAL USED ( FREE FULL SET),RM93.10
41,Xiaomi Redmi 10 2022(4GB RAM + 64GB ROM/ 4GB RAM + 128GB ROM) Original Xiaomi Malaysia,RM599.00
