,title,price
0,Apple iPhone 14 Pro,"RM4,999.00"
1,Apple iPhone 14,"RM3,899.00"
2,Apple iPhone 13,"RM3,399.00"
3,Apple iPhone 14 Pro,"RM5,188.00"
4,Apple iPhone 14 Pro Max,"RM5,449.00"
5,iPhone 14 Pro Max,"RM5,549.00"
6,Apple iPhone 14 Pro *FREE Shield Care Extended Warranty,"RM4,999.00"
7,Apple iPhone 13,"RM3,449.00"
8,Apple iPhone 14 Pro,"RM5,049.00"
9,Apple iPhone 14 Pro Max,"RM5,549.00"
10,Apple iPhone 12,"RM2,949.00"
11,Apple iPhone 14 Plus,"RM4,449.00"
12,Apple iPhone 13 mini,"RM3,199.00"
13,Apple iPhone 14 Pro 128GB 256GB 512GB 1TB,"RM5,299.00"
14,Apple iPhone 14,"RM3,929.00"
15,Apple iPhone 13 128GB 256GB 512GB,"RM3,899.00"
16,Apple iPhone 14 Pro Max 128GB 256GB 512GB 1TB,"RM5,649.00"
17,iPhone 14 Pro,"RM5,049.00"
18,Apple iPhone 14 Plus,"RM4,449.00"
19,Apple iPhone 13,"RM3,449.00"
20,Apple iPhone 14 128GB 256GB 512GB,"RM3,949.00"
21,Apple iPhone 12 mini,"RM2,469.00"
22,Apple iPhone 14,"RM3,949.00"
23,"Apple iPhone 13 Pro Max 1TB, Free Shipping","RM7,269.00"
24,Apple iPhone 14,"RM3,949.00"
25,Apple iPhone 14 Pro Max,"RM5,549.00"
26,Apple iPhone 13,"RM3,449.00"
27,Apple iPhone 12 128GB Free Shipping,"RM3,419.00"
28,Apple iPhone 14 Pro Max *FREE ShieldCare Extended Warranty,"RM5,499.00"
29,Apple iPhone 14 Plus,"RM4,449.00"
30,Apple iPhone 11,"RM2,249.00"
31,Apple iPhone 14 Plus,"RM4,419.00"
32,Apple iPhone 13 Pro Max,"RM7,149.00"
33,Apple iPhone 12,"RM3,199.00"
34,Apple iPhone 13 Pro,"RM5,899.00"
35,Apple iPhone SE (3rd generation) 64GB 128GB 256GB,"RM2,099.00"
36,Apple iPhone 11,"RM2,099.00"
37,"Apple iPhone 13 Pro 256GB, Free Shipping","RM5,287.00"
38,Apple iPhone 14 Plus 128GB 256GB 512GB,"RM5,199.00"
39,Apple iPhone 11 64GB 128GB 256GB,"RM2,399.00"
40,Apple iPhone 12,"RM3,899.00"
41,Apple iPhone 14 Plus,"RM4,429.00"
42,the entire process_cf_1,"RM3,301.00"
43,Apple iPhone SE (3rd generation),"RM2,249.00"
44,"Apple iPhone 13 Pro Max 128GB, Free Shipping","RM5,188.00"
45,Apple iPhone 14 Pro Max (128GB/ 256GB/ 512GB/ 1TB),"RM5,799.00"
